Project Code,Station ID,Sample ID,First Trigger Date,Collection_Date,Sample Type New,Collection Method,Depth,Depth Unit,Matrix,Test Number,Test Name,Storet Code,Method,Measure Date,Value,Sigfig Value,Uncertainty,MDL,PQL,RDL,Units,Remark Code,Flag,Receive Date,LIMS Number,Collection Agency,Source,Owner,Validation Level,Validator,Sampling Purpose,Data Investigation,T Depth,Upper Depth,Lower Depth,DCS(METERS),Filtration Date,Sample Type,QC Type,Discharge,Up/Down Stream,Weather Code,Program Type,NDEC,Sample Comments,Result Comments
ST1W,G300,P75409-12,,2/2/2015 9:59,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,2/3/2015 13:16,0.057,0.057,+/- 0.004,0.002,0.008,0.002,mg/L,,,2/2/2015 14:39,49130011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,1,MON,3,Gates closed. 3 filters used during processing. Fine dark particulates noticed in filter during processing,
ST1W,G300,P75414-11,,2/9/2015 10:27,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,2/10/2015 10:53,0.06,0.06,+/- 0.004,0.002,0.008,0.002,mg/L,,,2/9/2015 15:19,49135011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,Gates are closed. Two filters used during sample processing due to heavy suspended solids present.,
ST1W,G300,P75414-11,,2/9/2015 10:27,SAMP,G,0.5,m,SW,26,"PHOSPHATE, DISSOLVED AS P",666,SM4500PF,2/13/2015 10:48,0.069,0.069,+/- 0.004,0.002,0.004,0.002,mg/L,,,2/9/2015 15:19,49135011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,Gates are closed. Two filters used during sample processing due to heavy suspended solids present.,
ST1W,G300,P75414-11,,2/9/2015 10:27,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,2/10/2015 11:34,0.129,0.129,+/- 0.008,0.002,0.004,0.002,mg/L,,,2/9/2015 15:19,49135011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,Gates are closed. Two filters used during sample processing due to heavy suspended solids present.,
ST1W,G300,P75410-12,,2/16/2015 11:12,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,2/18/2015 10:30,0.126,0.126,+/- 0.008,0.002,0.004,0.002,mg/L,,,2/16/2015 15:55,49131011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,Gate is closed.,
ST1W,G300,P75410-12,,2/16/2015 11:12,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,2/17/2015 13:04,0.089,0.089,+/- 0.006,0.002,0.008,0.002,mg/L,,,2/16/2015 15:55,49131011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,Gate is closed.,
ST1W,G300,P75410-12,,2/16/2015 11:12,SAMP,G,0.5,m,SW,26,"PHOSPHATE, DISSOLVED AS P",666,SM4500PF,2/20/2015 9:43,0.1,0.1,+/- 0.006,0.002,0.004,0.002,mg/L,,,2/16/2015 15:55,49131011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,Gate is closed.,
ST1W,G300,P77024-11,,2/23/2015 10:27,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,2/24/2015 15:27,0.068,0.068,+/- 0.004,0.002,0.008,0.002,mg/L,,,2/23/2015 14:04,50365011,WMD,WMD,WMD,2,WMD,PD,CA,,,,,,0,,2,1,3,MON,3,Heavy fine particulates. Had to use 2 filters during processing.,
ST1W,G300,P77024-11,,2/23/2015 10:27,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,2/24/2015 11:24,0.126,0.126,+/- 0.008,0.002,0.004,0.002,mg/L,,,2/23/2015 14:04,50365011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,3,MON,3,Heavy fine particulates. Had to use 2 filters during processing.,
ST1W,G300,P77024-11,,2/23/2015 10:27,SAMP,G,0.5,m,SW,26,"PHOSPHATE, DISSOLVED AS P",666,SM4500PF,2/26/2015 11:15,0.074,0.074,+/- 0.005,0.002,0.004,0.002,mg/L,,,2/23/2015 14:04,50365011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,3,MON,3,Heavy fine particulates. Had to use 2 filters during processing.,
ST1W,G300,P77027-12,,3/2/2015 10:37,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,3/3/2015 13:25,0.064,0.064,+/- 0.004,0.002,0.008,0.002,mg/L,,,3/2/2015 13:41,50362011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,Gates are closed. Two filters used during sample processing.,
ST1W,G300,P77027-12,,3/2/2015 10:37,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,3/3/2015 11:05,0.146,0.146,+/- 0.009,0.002,0.004,0.002,mg/L,,,3/2/2015 13:41,50362011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,Gates are closed. Two filters used during sample processing.,
ST1W,G300,P77027-12,,3/2/2015 10:37,SAMP,G,0.5,m,SW,26,"PHOSPHATE, DISSOLVED AS P",666,SM4500PF,3/5/2015 11:45,0.074,0.074,+/- 0.005,0.002,0.004,0.002,mg/L,,,3/2/2015 13:41,50362011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,Gates are closed. Two filters used during sample processing.,
ST1W,G300,P77025-11,,3/9/2015 10:21,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,3/10/2015 16:13,0.107,0.107,+/- 0.007,0.002,0.004,0.002,mg/L,,,3/9/2015 14:13,50366011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,Gates closed.,
ST1W,G300,P77025-11,,3/9/2015 10:21,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,3/10/2015 13:20,0.073,0.073,+/- 0.005,0.002,0.008,0.002,mg/L,,,3/9/2015 14:13,50366011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,Gates closed.,
ST1W,G300,P77025-11,,3/9/2015 10:21,SAMP,G,0.5,m,SW,26,"PHOSPHATE, DISSOLVED AS P",666,SM4500PF,3/17/2015 12:10,0.082,0.082,+/- 0.005,0.002,0.004,0.002,mg/L,,,3/9/2015 14:13,50366011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,Gates closed.,
ST1W,G300,P77028-12,,3/16/2015 9:20,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,3/18/2015 13:40,0.105,0.105,+/- 0.007,0.002,0.004,0.002,mg/L,,,3/16/2015 12:47,50363011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,1,MON,3,,
ST1W,G300,P77028-12,,3/16/2015 9:20,SAMP,G,0.5,m,SW,26,"PHOSPHATE, DISSOLVED AS P",666,SM4500PF,3/19/2015 13:02,0.079,0.079,+/- 0.005,0.002,0.004,0.002,mg/L,,,3/16/2015 12:47,50363011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,1,MON,3,,
ST1W,G300,P77028-12,,3/16/2015 9:20,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,3/17/2015 12:26,0.068,0.068,+/- 0.004,0.002,0.008,0.002,mg/L,,,3/16/2015 12:47,50363011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,1,MON,3,,
ST1W,G300,P77026-11,,3/23/2015 10:05,SAMP,G,0.5,m,SW,26,"PHOSPHATE, DISSOLVED AS P",666,SM4500PF,3/25/2015 12:26,0.061,0.061,+/- 0.004,0.002,0.004,0.002,mg/L,,,3/23/2015 14:52,50367011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,Gate is closed.,
ST1W,G300,P77026-11,,3/23/2015 10:05,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,3/24/2015 14:26,0.05,0.05,+/- 0.004,0.002,0.008,0.002,mg/L,,,3/23/2015 14:52,50367011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,Gate is closed.,
ST1W,G300,P77026-11,,3/23/2015 10:05,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,3/24/2015 15:13,0.103,0.103,+/- 0.006,0.002,0.004,0.002,mg/L,,,3/23/2015 14:52,50367011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,Gate is closed.,
ST1W,G300,P77029-12,,3/30/2015 10:29,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,3/31/2015 12:05,0.054,0.054,+/- 0.004,0.002,0.008,0.002,mg/L,,,3/30/2015 14:17,50364011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,Gates are closed.,
ST1W,G300,P77029-12,,3/30/2015 10:29,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,3/31/2015 10:51,0.111,0.111,+/- 0.007,0.002,0.004,0.002,mg/L,,,3/30/2015 14:17,50364011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,Gates are closed.,
ST1W,G300,P77029-12,,3/30/2015 10:29,SAMP,G,0.5,m,SW,26,"PHOSPHATE, DISSOLVED AS P",666,SM4500PF,4/3/2015 9:46,0.067,0.067,+/- 0.004,0.002,0.004,0.002,mg/L,,,3/30/2015 14:17,50364011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,Gates are closed.,
ST1E,G300,P76968-12,,4/6/2015 10:46,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,4/7/2015 12:36,0.033,0.033,+/- 0.003,0.002,0.008,0.002,mg/L,,,4/6/2015 15:54,50309012,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,3,MON,3,,
ST1E,G300,P76968-12,,4/6/2015 10:46,SAMP,G,0.5,m,SW,26,"PHOSPHATE, DISSOLVED AS P",666,SM4500PF,4/13/2015 11:30,0.076,0.076,+/- 0.005,0.002,0.004,0.002,mg/L,,,4/6/2015 15:54,50309012,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,3,MON,3,,
ST1E,G300,P76968-12,,4/6/2015 10:46,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,4/7/2015 14:54,0.148,0.148,+/- 0.009,0.002,0.004,0.002,mg/L,,,4/6/2015 15:54,50309012,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,3,MON,3,,
ST1W,G300,P77930-11,,4/13/2015 11:53,SAMP,G,0.5,m,SW,26,"PHOSPHATE, DISSOLVED AS P",666,SM4500PF,4/16/2015 8:29,0.075,0.075,+/- 0.005,0.002,0.004,0.002,mg/L,,,4/13/2015 15:44,51220010,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,,
ST1W,G300,P77930-11,,4/13/2015 11:53,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,4/14/2015 11:35,0.106,0.106,+/- 0.007,0.002,0.004,0.002,mg/L,,,4/13/2015 15:44,51220010,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,,
ST1W,G300,P77930-11,,4/13/2015 11:53,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,4/14/2015 13:56,0.064,0.064,+/- 0.004,0.002,0.008,0.002,mg/L,,,4/13/2015 15:44,51220010,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,,
ST1W,G300,P78155-12,,4/20/2015 10:46,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,4/21/2015 15:02,0.144,0.144,+/- 0.009,0.002,0.004,0.002,mg/L,,,4/20/2015 15:16,51394012,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,3,MON,3,Gates are closed.,
ST1W,G300,P78155-12,,4/20/2015 10:46,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,4/21/2015 14:49,0.1,0.1,+/- 0.006,0.002,0.008,0.002,mg/L,,,4/20/2015 15:16,51394012,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,3,MON,3,Gates are closed.,
ST1W,G300,P78155-12,,4/20/2015 10:46,SAMP,G,0.5,m,SW,26,"PHOSPHATE, DISSOLVED AS P",666,SM4500PF,4/28/2015 9:25,0.114,0.114,+/- 0.007,0.002,0.004,0.002,mg/L,,,4/20/2015 15:16,51394012,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,3,MON,3,Gates are closed.,
ST1W,G300,P78250-11,,4/27/2015 10:35,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,4/28/2015 14:24,0.068,0.068,+/- 0.004,0.002,0.008,0.002,mg/L,,,4/27/2015 14:24,51481011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,3,MON,3,Gates are closed.,
ST1W,G300,P78250-11,,4/27/2015 10:35,SAMP,G,0.5,m,SW,26,"PHOSPHATE, DISSOLVED AS P",666,SM4500PF,5/4/2015 9:52,0.079,0.079,+/- 0.005,0.002,0.004,0.002,mg/L,,,4/27/2015 14:24,51481011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,3,MON,3,Gates are closed.,
ST1W,G300,P78250-11,,4/27/2015 10:35,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,4/29/2015 8:31,0.134,0.134,+/- 0.008,0.002,0.004,0.002,mg/L,,,4/27/2015 14:24,51481011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,3,MON,3,Gates are closed.,
ST1W,G300,P78156-12,,5/4/2015 10:15,SAMP,G,0.5,m,SW,26,"PHOSPHATE, DISSOLVED AS P",666,SM4500PF,5/6/2015 13:22,0.07,0.07,+/- 0.005,0.002,0.004,0.002,mg/L,,,5/4/2015 14:52,51395012,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,Gates closed,
ST1W,G300,P78156-12,,5/4/2015 10:15,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,5/5/2015 13:39,0.058,0.058,+/- 0.004,0.002,0.008,0.002,mg/L,,,5/4/2015 14:52,51395012,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,Gates closed,
ST1W,G300,P78156-12,,5/4/2015 10:15,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,5/5/2015 12:22,0.101,0.101,+/- 0.007,0.002,0.004,0.002,mg/L,,,5/4/2015 14:52,51395012,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,Gates closed,
ST1W,G300,P78252-11,,5/11/2015 9:57,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,5/12/2015 14:57,0.061,0.061,+/- 0.004,0.002,0.008,0.002,mg/L,,,5/11/2015 14:25,51482011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,1,MON,3,,
ST1W,G300,P78252-11,,5/11/2015 9:57,SAMP,G,0.5,m,SW,26,"PHOSPHATE, DISSOLVED AS P",666,SM4500PF,5/18/2015 9:22,0.072,0.072,+/- 0.005,0.002,0.004,0.002,mg/L,,,5/11/2015 14:25,51482011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,1,MON,3,,
ST1W,G300,P78252-11,,5/11/2015 9:57,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,5/12/2015 11:46,0.107,0.107,+/- 0.008,0.002,0.004,0.002,mg/L,,,5/11/2015 14:25,51482011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,1,MON,3,,
ST1W,G300,P78448-12,,5/18/2015 11:02,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,5/19/2015 12:12,0.019,0.019,+/- 0.002,0.002,0.008,0.002,mg/L,,,5/18/2015 15:37,51648011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,3,MON,3,"gates closed, no flow",
ST1W,G300,P78448-12,,5/18/2015 11:02,SAMP,G,0.5,m,SW,26,"PHOSPHATE, DISSOLVED AS P",666,SM4500PF,5/27/2015 9:08,0.029,0.029,+/- 0.003,0.002,0.004,0.002,mg/L,,,5/18/2015 15:37,51648011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,3,MON,3,"gates closed, no flow",
ST1W,G300,P78448-12,,5/18/2015 11:02,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,5/19/2015 12:18,0.097,0.097,+/- 0.007,0.002,0.004,0.002,mg/L,,,5/18/2015 15:37,51648011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,3,MON,3,"gates closed, no flow",
ST1W,G300,P78444-11,,5/26/2015 11:20,SAMP,G,0.5,m,SW,26,"PHOSPHATE, DISSOLVED AS P",666,SM4500PF,6/9/2015 9:25,0.032,0.032,+/- 0.003,0.002,0.004,0.002,mg/L,,,5/26/2015 16:03,51641011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,3,MON,3,"gates closed, no flow",
ST1W,G300,P78444-11,,5/26/2015 11:20,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,5/27/2015 15:06,0.02,0.02,+/- 0.002,0.002,0.008,0.002,mg/L,,,5/26/2015 16:03,51641011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,3,MON,3,"gates closed, no flow",
ST1W,G300,P78444-11,,5/26/2015 11:20,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,5/28/2015 9:21,0.112,0.112,+/- 0.008,0.002,0.004,0.002,mg/L,,,5/26/2015 16:03,51641011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,3,MON,3,"gates closed, no flow",
ST1W,G300,P78449-12,,6/1/2015 9:50,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,6/2/2015 11:32,0.097,0.097,+/- 0.007,0.002,0.004,0.002,mg/L,,,6/1/2015 14:21,51649011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,3,MON,3,Gates are closed.,
ST1W,G300,P78449-12,,6/1/2015 9:50,SAMP,G,0.5,m,SW,26,"PHOSPHATE, DISSOLVED AS P",666,SM4500PF,6/9/2015 12:40,0.055,0.055,+/- 0.004,0.002,0.004,0.002,mg/L,,,6/1/2015 14:21,51649011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,3,MON,3,Gates are closed.,
ST1W,G300,P78449-12,,6/1/2015 9:50,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,6/2/2015 14:14,0.041,0.041,+/- 0.003,0.002,0.008,0.002,mg/L,,,6/1/2015 14:21,51649011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,3,MON,3,Gates are closed.,
ST1W,G300,P78445-11,,6/8/2015 10:59,SAMP,G,0.5,m,SW,26,"PHOSPHATE, DISSOLVED AS P",666,SM4500PF,6/15/2015 10:44,0.065,0.065,+/- 0.004,0.002,0.004,0.002,mg/L,,,6/8/2015 14:59,51642011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,Gates are closed.,
ST1W,G300,P78445-11,,6/8/2015 10:59,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,6/9/2015 14:41,0.097,0.097,+/- 0.007,0.002,0.004,0.002,mg/L,,,6/8/2015 14:59,51642011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,Gates are closed.,
