Project Code,Station ID,Sample ID,First Trigger Date,Collection_Date,Sample Type New,Collection Method,Depth,Depth Unit,Matrix,Test Number,Test Name,Storet Code,Method,Measure Date,Value,Sigfig Value,Uncertainty,MDL,PQL,RDL,Units,Remark Code,Flag,Receive Date,LIMS Number,Collection Agency,Source,Owner,Validation Level,Validator,Sampling Purpose,Data Investigation,T Depth,Upper Depth,Lower Depth,DCS(METERS),Filtration Date,Sample Type,QC Type,Discharge,Up/Down Stream,Weather Code,Program Type,NDEC,Sample Comments,Result Comments
CAMB,S5A,P76362-1,,2/23/2015 7:50,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,2/24/2015 11:04,0.135,0.135,+/- 0.008,0.002,0.004,0.002,mg/L,,,2/23/2015 12:57,49704001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,1,MON,3,One pump running while at site.,
CAMB,S5A,P77111-1,,3/2/2015 8:00,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,3/3/2015 14:03,0.06,0.06,+/- 0.004,0.002,0.008,0.002,mg/L,,,3/2/2015 13:37,50450001,WMD,WMD,WMD,2,WMD,PD,CA,,,,,,0,,1,1,1,MON,3,One pump running while at station.,
CAMB,S5A,P77111-1,,3/2/2015 8:00,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,3/3/2015 10:45,0.117,0.117,+/- 0.007,0.002,0.004,0.002,mg/L,,,3/2/2015 13:37,50450001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,1,MON,3,One pump running while at station.,
CAMB,S5A,P77114-10,,3/9/2015 8:24,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,3/10/2015 16:07,0.113,0.113,+/- 0.007,0.002,0.004,0.002,mg/L,,,3/9/2015 16:50,50448010,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,1,MON,3,"One pump running. Sample area clear, Moderate solids visible within sample.",
CAMB,S5A,P77112-1,,3/16/2015 8:10,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,3/19/2015 12:45,0.113,0.113,+/- 0.007,0.002,0.004,0.002,mg/L,,,3/16/2015 13:30,50451001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,"No pumps running, sample area clear. Light solids visible within sample. [TURB] cancelled.  [ALKA] cancelled.  [NH4] cancelled.  [NOX] cancelled.  [TKN] cancelled.  [TN] cancelled.  [CL] cancelled.  [OPO4] cancelled.",
CAMB,S5A,P77115-10,,3/23/2015 8:26,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,3/24/2015 14:53,0.11,0.11,+/- 0.007,0.002,0.004,0.002,mg/L,,,3/23/2015 14:14,50449010,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,pumps off. sampling area clear. light particulates persent in sample.,
CAMB,S5A,P77113-1,,3/30/2015 8:45,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,3/31/2015 11:05,0.099,0.099,+/- 0.006,0.002,0.004,0.002,mg/L,,,3/30/2015 14:19,50452001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,1,MON,3,pumps off. sampling area clear. light particulates present in sample.,
CAMB,S5A,P77663-10,,4/6/2015 8:40,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,4/7/2015 14:13,0.088,0.088,+/- 0.006,0.002,0.004,0.002,mg/L,,,4/6/2015 13:28,50971008,WMD,WMD,,2,WMD,PD,NO,,,,,,0,,2,1,1,MON,3,,
CAMB,S5A,P77884-1,,4/13/2015 9:12,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,4/14/2015 13:24,0.051,0.051,+/- 0.004,0.002,0.008,0.002,mg/L,,,4/13/2015 14:42,51181001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,,
CAMB,S5A,P77884-1,,4/13/2015 9:12,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,4/14/2015 11:17,0.086,0.086,+/- 0.006,0.002,0.004,0.002,mg/L,,,4/13/2015 14:42,51181001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,,
CAMB,S5A,P77664-10,,4/20/2015 8:32,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,4/21/2015 14:05,0.115,0.115,+/- 0.007,0.002,0.004,0.002,mg/L,,,4/20/2015 14:05,50972008,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,2,MON,3,,
CAMB,S5A,P77670-1,,4/27/2015 8:10,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,4/29/2015 8:10,0.133,0.133,+/- 0.008,0.002,0.004,0.002,mg/L,,,4/27/2015 14:20,50978001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,2,MON,3,"One pump running. Small amount of green algae on surface. Light solids, algae particles visible within sample.",
CAMB,S5A,P77670-1,,4/27/2015 8:10,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,4/28/2015 13:29,0.053,0.053,+/- 0.004,0.002,0.008,0.002,mg/L,,,4/27/2015 14:20,50978001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,2,MON,3,"One pump running. Small amount of green algae on surface. Light solids, algae particles visible within sample.",
CAMB,S5A,P77665-10,,5/4/2015 8:14,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,5/5/2015 11:06,0.121,0.121,+/- 0.008,0.002,0.004,0.002,mg/L,,,5/4/2015 14:12,50973008,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,1,MON,3,One pump running at time of visit.,
CAMB,S5A,P77671-1,,5/11/2015 8:19,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,5/12/2015 14:07,0.078,0.078,+/- 0.005,0.002,0.008,0.002,mg/L,,,5/11/2015 14:37,50979001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,1,MON,3,,
CAMB,S5A,P77671-1,,5/11/2015 8:19,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,5/12/2015 12:09,0.118,0.118,+/- 0.008,0.002,0.004,0.002,mg/L,,,5/11/2015 14:37,50979001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,1,MON,3,,
CAMB,S5A,P77666-10,,5/18/2015 8:21,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,5/19/2015 11:26,0.11,0.11,+/- 0.008,0.002,0.004,0.002,mg/L,,,5/18/2015 14:38,50974008,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,1,MON,3,pumps off. blue green algae covering surface of sampling area. light particulates visible in sample.,
CAMB,S5A,P77672-1,,5/26/2015 12:23,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,5/28/2015 9:47,0.109,0.109,+/- 0.008,0.002,0.004,0.002,mg/L,,,5/26/2015 14:31,50980001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,2,MON,3,One pump running at time of visit.,
CAMB,S5A,P77672-1,,5/26/2015 12:23,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,5/27/2015 14:36,0.072,0.072,+/- 0.004,0.002,0.008,0.002,mg/L,,,5/26/2015 14:31,50980001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,2,MON,3,One pump running at time of visit.,
CAMB,S5A,P77667-10,,6/1/2015 7:45,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,6/2/2015 11:21,0.117,0.117,+/- 0.008,0.002,0.004,0.002,mg/L,,,6/1/2015 13:04,50975008,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,1,MON,3,,
CAMB,S5A,P77673-1,,6/8/2015 9:45,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,6/9/2015 13:28,0.062,0.062,+/- 0.004,0.002,0.008,0.002,mg/L,,,6/8/2015 16:25,50981001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,2,MON,3,One pump running at time of site visit.,
CAMB,S5A,P77673-1,,6/8/2015 9:45,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,6/9/2015 14:56,0.102,0.102,+/- 0.007,0.002,0.004,0.002,mg/L,,,6/8/2015 16:25,50981001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,2,MON,3,One pump running at time of site visit.,
CAMB,S5A,P77668-10,,6/15/2015 8:57,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,6/16/2015 10:56,0.137,0.137,+/- 0.010,0.002,0.004,0.002,mg/L,,,6/15/2015 14:25,50976008,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,2,MON,3,pumps on. sampling area clear. less blue green algae present at site than previous weeks. light particulates visible in sample.,
CAMB,S5A,P77674-1,,6/22/2015 8:05,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,6/23/2015 13:38,0.038,0.038,+/- 0.003,0.002,0.008,0.002,mg/L,,,6/22/2015 13:53,50982001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,1,MON,3,One pump running at time of site visit. Noticeable BGA in the sampling area. Pictures taken.,
CAMB,S5A,P77674-1,,6/22/2015 8:05,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,6/23/2015 13:11,0.091,0.091,+/- 0.006,0.002,0.004,0.002,mg/L,,,6/22/2015 13:53,50982001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,1,MON,3,One pump running at time of site visit. Noticeable BGA in the sampling area. Pictures taken.,
CAMB,S5A,P77669-10,,6/29/2015 8:25,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,6/30/2015 13:36,0.08,0.08,+/- 0.006,0.002,0.004,0.002,mg/L,,,6/29/2015 12:31,50977008,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,1,MON,3,Large abundance of algae visible in the water.,
CAMB,S5A,P78883-1,,7/6/2015 8:34,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,7/7/2015 11:00,0.097,0.097,+/- 0.007,0.002,0.004,0.002,mg/L,,,7/6/2015 15:03,52030001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,3,MON,3,one pump running. some blue green algae still present at site. light particulates present in sample.,
CAMB,S5A,P78883-1,,7/6/2015 8:34,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,7/7/2015 13:22,0.059,0.059,+/- 0.004,0.002,0.008,0.002,mg/L,,,7/6/2015 15:03,52030001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,3,MON,3,one pump running. some blue green algae still present at site. light particulates present in sample.,
CAMB,S5A,P78890-10,,7/13/2015 7:49,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,7/14/2015 11:07,0.084,0.084,+/- 0.006,0.002,0.004,0.002,mg/L,,,7/13/2015 12:54,52026008,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,2,MON,3,"Two pumps running, sample area clear, light solids visible within sample.",
CAMB,S5A,P78884-1,,7/20/2015 8:03,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,7/21/2015 14:46,0.047,0.047,+/- 0.003,0.002,0.008,0.002,mg/L,,,7/20/2015 14:48,52031001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,1,MON,3,One pump running at time of visit.,
CAMB,S5A,P78884-1,,7/20/2015 8:03,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,7/21/2015 13:11,0.09,0.09,+/- 0.006,0.002,0.004,0.002,mg/L,,,7/20/2015 14:48,52031001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,1,MON,3,One pump running at time of visit.,
CAMB,S5A,P78891-10,,7/27/2015 8:15,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,7/28/2015 11:12,0.077,0.077,+/- 0.006,0.002,0.004,0.002,mg/L,,,7/27/2015 14:16,52027008,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,1,MON,3,One pump running at time of site visit.,
CAMB,S5A,P79636-1,,8/3/2015 9:05,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,8/4/2015 14:13,0.052,0.052,+/- 0.003,0.002,0.008,0.002,mg/L,,,8/3/2015 17:07,52692001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,2,MON,3,"One pump running. Sample area clear, light solids visible within sample. 2 filters used to process samples.",
CAMB,S5A,P79636-1,,8/3/2015 9:05,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,8/4/2015 13:39,0.095,0.095,+/- 0.007,0.002,0.004,0.002,mg/L,,,8/3/2015 17:07,52692001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,2,MON,3,"One pump running. Sample area clear, light solids visible within sample. 2 filters used to process samples.",
CAMB,S5A,P78892-10,,8/10/2015 8:03,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,8/11/2015 12:07,0.089,0.089,+/- 0.006,0.002,0.004,0.002,mg/L,,,8/10/2015 12:54,52028008,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,1,MON,3,Moderate fine grain particulates present in sample.,
CAMB,S5A,P78886-1,,8/17/2015 8:09,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,8/18/2015 12:14,0.028,0.028,+/- 0.002,0.002,0.008,0.002,mg/L,,,8/17/2015 15:17,52033001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,Pumps are off.,
CAMB,S5A,P78886-1,,8/17/2015 8:09,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,8/18/2015 15:26,0.067,0.067,+/- 0.005,0.002,0.004,0.002,mg/L,,,8/17/2015 15:17,52033001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,Pumps are off.,
CAMB,S5A,P78893-10,,8/24/2015 8:01,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,8/26/2015 8:58,0.063,0.063,+/- 0.005,0.002,0.004,0.002,mg/L,,,8/24/2015 12:53,52029008,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,1,MON,3,,
CAMB,S5A,P78887-1,,8/31/2015 8:06,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,9/1/2015 12:14,0.11,0.11,+/- 0.006,0.002,0.008,0.002,mg/L,,,8/31/2015 13:36,52034001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,2,MON,3,,
CAMB,S5A,P78887-1,,8/31/2015 8:06,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,9/1/2015 13:28,0.16,0.16,+/- 0.011,0.002,0.004,0.002,mg/L,,,8/31/2015 13:36,52034001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,2,MON,3,,
CAMB,S5A,P79990-1,,9/8/2015 7:55,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,9/10/2015 8:49,0.116,0.116,+/- 0.008,0.002,0.004,0.002,mg/L,,,9/8/2015 13:19,52990001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,2,MON,3,"One pump on, flowing. Sample area clear,  Moderate solids visible within sample.",
CAMB,S5A,P79992-1,,9/14/2015 8:27,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,9/16/2015 9:59,0.128,0.128,+/- 0.009,0.002,0.004,0.002,mg/L,,,9/14/2015 15:16,52992001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,1,MON,3,"one pump running at pump station, monthly sample collected",
CAMB,S5A,P79992-1,,9/14/2015 8:27,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,9/15/2015 13:54,0.049,0.049,+/- 0.003,0.002,0.008,0.002,mg/L,,,9/14/2015 15:16,52992001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,1,MON,3,"one pump running at pump station, monthly sample collected",
CAMB,S5A,P79991-1,,9/21/2015 8:45,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,9/23/2015 11:58,0.216,0.216,+/- 0.015,0.002,0.004,0.002,mg/L,PMR,,9/21/2015 16:25,52991001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,1,MON,3,,Recorded flow documentation submitted. It was taken with staff on the trip but not submitted with paperwork.
CAMB,S5A,P79993-1,,9/28/2015 8:13,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,9/29/2015 13:28,0.129,0.129,+/- 0.007,0.002,0.008,0.002,mg/L,,,9/28/2015 15:09,52993001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,1,MON,3,Pumps running at time of visit.,
CAMB,S5A,P79993-1,,9/28/2015 8:13,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,9/30/2015 10:15,0.213,0.213,+/- 0.015,0.002,0.004,0.002,mg/L,,,9/28/2015 15:09,52993001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,1,MON,3,Pumps running at time of visit.,
CAMB,S5A,P80448-1,,10/6/2015 8:08,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,10/7/2015 10:17,0.114,0.114,+/- 0.008,0.002,0.004,0.002,mg/L,,,10/6/2015 13:20,53307001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,2,MON,3,"One pump running, flow. Sample area clear, light solids visible within sample.",
CAMB,S5A,P80465-5,,10/13/2015 9:10,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,10/14/2015 11:17,0.058,0.058,+/- 0.004,0.002,0.008,0.002,mg/L,,,10/13/2015 15:43,53324005,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,1,MON,3,one pump running. site clear of debris.,
CAMB,S5A,P80465-5,,10/13/2015 9:10,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,10/14/2015 11:47,0.12,0.12,+/- 0.008,0.002,0.004,0.002,mg/L,,,10/13/2015 15:43,53324005,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,1,MON,3,one pump running. site clear of debris.,
CAMB,S5A,P80449-1,,10/20/2015 7:46,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,10/21/2015 11:00,0.106,0.106,+/- 0.007,0.002,0.004,0.002,mg/L,,,10/20/2015 14:48,53308001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,2,MON,3,"flow, one pump running, moderate fine grain particulate observed in sample",
CAMB,S5A,P80454-1,,10/27/2015 8:41,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,10/28/2015 12:59,0.135,0.135,+/- 0.009,0.002,0.004,0.002,mg/L,,,10/27/2015 15:50,53313001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,2,MON,3,Previous HFDM file corrupted. Sample data transcribed from previous file. WARNING: Time exceeds +/- 1 Hour(s).,
CAMB,S5A,P80454-1,,10/27/2015 8:41,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,10/28/2015 13:41,0.067,0.067,+/- 0.004,0.002,0.008,0.002,mg/L,,,10/27/2015 15:50,53313001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,2,MON,3,Previous HFDM file corrupted. Sample data transcribed from previous file. WARNING: Time exceeds +/- 1 Hour(s).,
CAMB,S5A,P80450-1,,11/3/2015 8:19,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,11/4/2015 11:46,0.114,0.114,+/- 0.008,0.002,0.004,0.002,mg/L,,,11/3/2015 13:14,53309001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,1,MON,3,"All pumps off, no flow. Sample area clear, light solids visible within sample.",
CAMB,S5A,P80455-1,,11/10/2015 8:41,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,11/12/2015 13:55,0.113,0.113,+/- 0.008,0.002,0.004,0.002,mg/L,,,11/10/2015 14:57,53314001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,1,MON,3,"one pump running, flow, light amount of particulate observed in sample",
CAMB,S5A,P80455-1,,11/10/2015 8:41,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,11/10/2015 15:44,0.071,0.071,+/- 0.004,0.002,0.008,0.002,mg/L,,,11/10/2015 14:57,53314001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,1,MON,3,"one pump running, flow, light amount of particulate observed in sample",
CAMB,S5A,P80451-1,,11/17/2015 8:00,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,11/18/2015 14:36,0.119,0.119,+/- 0.008,0.002,0.004,0.002,mg/L,,,11/17/2015 14:41,53310001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,2,MON,3,One pump is operating.,
EAAP,S5A,P82040-1,,11/23/2015 7:46,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,12/1/2015 11:52,0.246,0.246,+/- 0.017,0.002,0.004,0.002,mg/L,,,11/23/2015 13:59,54575001,AMEC,WMD,WMD,2,WMD,BA,NO,,,,,,0,,1,1,1,MON,3,,
EAAP,S5A,P82040-1,,11/23/2015 7:46,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,11/24/2015 15:20,0.183,0.183,+/- 0.010,0.002,0.008,0.002,mg/L,,,11/23/2015 13:59,54575001,AMEC,WMD,WMD,2,WMD,BA,NO,,,,,,0,,1,1,1,MON,3,,
